,,,,,
Pays,nom,langue,url,catégories,
Emirats arabes unis,Gulf News,english,https://gulfnews.com/,https://gulfnews.com/opinion,Pro-gouvernemental avec ton modéré
Emirats arabes unis,Al-Ittihad,arabe,https://www.aletihad.ae/,https://www.aletihad.ae/opinion,"aligné avec le gouvernement, ton conservateur et institutionnel, reflète la politique intérieure et diplomatique"
,,,,,
,,,,,
,,,,,
Iran,Iran International,english,https://www.iranintl.com/en,https://www.iranintl.com/en/opinion,media anti régime
Iran,Iran International,english,https://www.iranintl.com/en,https://www.iranintl.com/en/analysis,
Iran,Iran International,english,https://www.iranintl.com/en,https://www.iranintl.com/en/special-report,
Iran,IranWire,english,https://iranwire.com/en/,https://iranwire.com/en/category/blogs, 
Iran,Donya‑e‑Eqtesad,farsi,https://donya-e-eqtesad.com/,https://donya-e-eqtesad.com/,"Quotidien économique centre‑droit / modéré,"
Iran,Jam-e Jam,farsi,,"They dont have a proper opinion section, but do have opinion pieces",proche du pouvoir et de l’establishment religieux.
Iran,Kayhan,farsi,https://kayhan.ir/en,the website doesn't open,conservateur
Iran,Shargh,farsi,https://www.sharghdaily.com/fa,https://www.sharghdaily.com/%D8%A8%D8%AE%D8%B4-%D8%B3%D8%B1%D9%85%D9%82%D8%A7%D9%84%D9%87-243,réformateur
Iran,Ettelaat,farsi,https://www.ettelaat.com/,the website doesn't open,conservateur modéré
Iran,Hamshahri,farsi,https://hamshahrionline.ir/,the website doesn't open,réformateur
Iran,Entekhab,farsi,https://www.entekhab.ir/,the website doesn't open,conservateur
,,,,,
Bahreïn,Akhbar el-Khaleej,arabe,https://akhbar-alkhaleej.com/,https://akhbar-alkhaleej.com/news/columns,pro-gouvernement
Bahreïn,Al-Watan,arabe,https://alwatannews.net/,https://alwatannews.net/opinion,pro-gouvernement
,,,,,
Israël,Haaretz,english,https://www.haaretz.com/,https://www.haaretz.com/opinion,libéral
Israël,Maariv,hébreu,https://www.maariv.co.il/,https://www.maariv.co.il/journalists/ben-caspit-10,centre droit
Israël,Maariv,hébreu,https://www.maariv.co.il/,https://www.maariv.co.il/journalists/mati-tuchfeld-59682,centre droit
Israël,Maariv,hébreu,https://www.maariv.co.il/,https://www.maariv.co.il/journalists/avi-benayahu-9,centre droit
Israël,Maariv,hébreu,https://www.maariv.co.il/,https://www.maariv.co.il/journalists/alon-ben-david-36,centre droit
Israël,Maariv,hébreu,https://www.maariv.co.il/,https://www.maariv.co.il/journalists/ron-kofman-53,centre droit
Israël,Maariv,hébreu,https://www.maariv.co.il/,https://www.maariv.co.il/journalists/ron-maiberg-71,centre droit
Israël,Maariv,hébreu,https://www.maariv.co.il/,https://www.maariv.co.il/journalists/natan-zahavi-32,centre droit
Israël,Yediot Aharonot,hébreu,"https://www.ynet.co.il/home/0,7340,L-8,00.html",https://www.ynet.co.il/news/category/194,centriste grand public
Israël,Israel Hayon,hébreu,https://www.israelhayom.com/,acces denied,pro netanyahu
Israël,Jerusalem Post,english,https://www.jpost.com/,https://www.jpost.com/opinion,droit conservateur
Israël,The times of Israel,english,https://www.timesofisrael.com/,https://blogs.timesofisrael.com/?_gl=1*1svnh7d*_ga*NDI4MTQyNzUzLjE3NzIyNzEwNzU.*_ga_RJR2XWQR34*czE3NzM5MzkwNjQkbzUkZzAkdDE3NzM5MzkwNjUkajU5JGwwJGgw,droite conservatrice
,,,,,
Egypte,Al-Ahram daily,arabe,https://gate.ahram.org.eg/Daily/,https://gate.ahram.org.eg/daily/WriterArticles/5784/2026/0.aspx,conservateur et pro-état
Egypte,Al-Akhbar el-Yom,arabe,https://akhbarelyom.com/,,
Egypte,Madam Masr,english,https://www.madamasr.com/en/?ref=thetroubledregion.com,https://www.madamasr.com/en/opinion/,opposition libéral
Egypte,Madam Masr,english,https://www.madamasr.com/en/?ref=thetroubledregion.com,https://www.madamasr.com/opinion/,opposition libéral
,,,,,
Algérie,El Chourouk el-Yom,arabe,https://www.echoroukonline.com,https://www.echoroukonline.com/opinion,conservateur nationaliste proche du gouvernement
